712 50
at 0.0043770988 -0.0024466084 0.0035134682 0.002405108 0.0009930169 0.002420617 -0.003790745 0.0005994023 0.0026170306 -0.0014851091 0.002005912 -0.0035164293 -0.0021295887 0.0016609692 -0.0045554093 -0.0026855443 -0.0017744633 -0.0004125185 0.0018361366 0.005388359 -0.0034680841 -0.0052782046 -0.002099487 -0.005056407 -0.0040997756 0.0009121229 0.0033757696 -0.003145626 0.0022799282 -0.00369266 0.0049734 0.004938604 -0.0041259653 0.00383425 0.003555165 -0.0026024473 0.00060054904 0.002076944 0.0027602587 -0.003177824 -0.0022869073 -0.0044726734 -0.0037588852 -0.00095643546 0.0039246986 -0.0016148045 0.0023052604 0.0019351009 0.0042221243 0.0018313396
april 0.0008313991 -0.001161139 -0.0003508266 -0.0001020543 -0.0030879087 1.0746195e-05 -0.00043542383 -0.000106004816 0.00029658366 0.002062351 0.0027472228 -0.0005539864 5.6128934e-05 0.0022335462 0.0009946193 -0.00092027365 -0.00047571666 -0.0013386185 -0.00018042269 -0.0025722894 -0.0021337864 0.001033779 -0.001935326 -0.0010405069 0.0011487418 -0.0016472478 -0.00031043048 -0.0027411198 0.0017338003 -0.000264175 0.00017433501 0.0010591962 -0.0024383026 0.0017768722 0.0006672711 -0.0016468202 0.002808004 6.685301e-05 0.0025689655 -0.0018276016 0.00027153373 -0.0010293678 0.0021676186 0.0018223632 0.0023352418 -0.0021935387 0.0022639998 -0.00045821175 -0.0005105516 0.00030185617
2014 0.0040703067 -0.0041063274 0.0047554085 0.002742719 0.0012145536 0.0027678548 -0.004483596 -0.0010471251 0.0045673125 0.003267436 0.003200441 -0.0032418603 -0.002757497 0.0030969647 -0.0026676166 -0.005486295 -0.003258428 0.0027764847 0.0034014548 0.0021838036 -0.004283852 -0.003442822 -0.003869482 -0.004729163 -0.0012894946 -0.004847142 0.0031069235 -0.004018357 0.004433432 -0.0057836436 0.0029884083 0.0014078694 -0.003976882 0.0057287733 0.002450646 -0.0032027592 0.00033027303 0.001994874 0.0018559386 -0.002803199 -0.005215562 -0.0020066653 -0.002381266 -0.0014031688 0.0030102571 -0.003930427 0.0019871355 0.0029509494 0.0032913536 0.0035226196
held 0.0036364277 -0.0038892708 0.0036761202 0.0028800399 0.0021288965 0.0032642502 -0.0024356616 -0.00017846447 0.004288976 0.0022722408 0.0023565805 -0.004325121 -0.00425411 0.0036281976 -0.0029316978 -0.0031485655 -0.0031199453 0.0026838193 0.003676154 0.003368386 -0.003540734 -0.004272423 -0.003697836 -0.0042993585 -0.0031804002 -0.003341926 0.0039229533 -0.0040714764 0.0030828416 -0.0020622828 0.0041466937 0.0039834785 -0.0037808565 0.0023591076 0.003296841 -0.003532617 -0.0011240201 0.0035029743 0.0030286007 -0.003429346 -0.002912914 -0.0034329216 -0.0036484748 -0.0026435577 0.004038313 -0.002727113 0.0038269057 0.0030887923 0.0030635346 0.003948573
post 0.0020462524 -0.0028780773 0.0010674573 0.001627391 0.003176631 0.002416292 -0.0020865798 0.0009963791 0.0026031663 -0.0019400246 0.0014034413 -0.003115183 -0.0006711007 0.0028335704 -0.0007707086 -0.0027744926 -0.0012047554 0.004571387 0.0041797757 -0.0011659844 -0.0030854205 -0.0026994061 -0.00321631 -0.0038181401 -0.002497093 -0.0031848599 0.0018468492 -0.0009275614 0.0008624445 -0.0022575671 0.0034501753 0.0017018912 -0.0022855354 0.0032637392 0.0028149534 -0.0022826933 -0.003910569 0.003567019 0.0022442164 -0.002558447 -0.0019694597 -0.0010613065 -0.0011079528 -0.0039906893 8.806199e-05 -0.0026016096 0.0016394774 0.003788199 0.0009547844 0.00052968576
women 0.0020118926 -0.0024696642 0.0010290196 0.002454201 0.0025005792 0.0021673744 -0.0020810494 0.0008006428 0.0012270868 -0.0012391498 0.0012962944 -0.0015477646 -0.0020506612 0.0020060576 -0.0024177423 -0.0022641937 -0.0023936464 0.0017685189 0.0014868559 0.0006721783 -0.0017955645 -0.0025618055 -0.0013009025 -0.0017641826 -0.003750129 -0.0021641278 0.0013684748 -0.0015312156 0.00050521194 -0.0022921553 0.0024360144 0.0021658372 -0.002349427 0.0037707859 0.0015432461 -0.0028689662 -0.0041071884 0.002659592 0.0008791206 -0.004011709 -0.0025266802 -0.0018859067 -0.0014500564 -0.0027533981 0.0017233491 -0.0023397445 0.0035251605 0.0027442144 0.0030652352 0.0018963453
august 0.0062990976 -0.0049704197 0.0029314058 0.0032740931 0.0014438118 0.0030024655 -0.0031453536 -0.00062803517 0.00609742 0.0051795 0.0048147882 -0.0045050355 -0.0042189197 0.005625828 -0.0017694549 -0.0051317634 -0.0035561507 0.003954682 0.005298756 -0.00049000076 -0.0034394788 -0.0037685954 -0.003181558 -0.0045192624 -0.0021429216 -0.0048975646 0.0034134423 -0.005704038 0.0053391173 -0.0030192845 0.0029086864 0.0033869245 -0.0050131176 0.0046465066 0.0036097097 -0.005261808 -0.0018014567 0.0026851285 0.0020140314 -0.0035378837 -0.002965373 -0.003452291 -0.0021022756 -0.003293749 0.0054055876 -0.0060335584 0.0032729276 0.0026723347 0.0021425807 0.0040110713
2015 0.0027821772 -0.0022143123 0.0036786078 0.0024885647 0.0019144397 0.002529647 -0.0030063463 0.00084681646 0.0027428223 0.003757062 0.003294805 -0.0021663138 -0.0033371942 0.0022996762 -0.0005004232 -0.0036483535 -0.003734893 0.0020172342 0.0028480757 0.0017390657 -0.0028639962 -0.0025576309 -0.0024610218 -0.0042987918 -0.0024451131 -0.0028502536 0.0024452708 -0.004019476 0.0028312404 -0.0025948735 0.0031662278 0.0034946075 -0.0026931516 0.0047378065 0.002921494 -0.0037207475 -0.0011990967 0.0031716528 0.0020542187 -0.0026406415 -0.0019987794 -0.0033252565 -0.00024186324 -0.00085656525 0.0039056332 -0.0053810333 0.005106285 0.0020935691 0.0018258728 0.0022900372
secretary 0.005439012 -0.0049892473 0.0036973462 0.0037967723 0.005531201 0.00453134 -0.0054660398 -0.0012822628 0.006252089 -0.002790196 0.005039016 -0.004439628 -0.0036009324 0.0053759394 -0.0036348524 -0.0044217175 -0.0050100065 0.005357166 0.00591983 0.0022182446 -0.0065049864 -0.0057888795 -0.0058366708 -0.0045945705 -0.0051939692 -0.0029819293 0.0049350685 -0.004203112 0.0024430712 -0.004037468 0.0056558936 0.004271471 -0.005352486 0.0044706054 0.0054422547 -0.0042418377 -0.0031508757 0.0021345504 0.0050026583 -0.005852767 -0.0048470586 -0.0046843546 -0.005165901 -0.0040546264 0.00401548 -0.0024331775 0.004755844 0.005346718 0.0057072802 0.0036020798
state 0.0022942482 -0.0027476486 0.00047568735 0.0014834526 0.002994677 0.0025824816 -0.0017503371 0.0031280764 0.0017337481 -0.00092472456 0.0014038672 -0.003457194 -0.00083589356 0.0023104881 -0.0012069074 -0.002451672 -0.0010748046 0.0016032759 0.0011427681 0.00092213263 -0.001854892 -0.0015063816 -0.0007328609 -0.0028506073 -0.004129854 -0.0009533798 0.0031585142 -0.0013214359 -0.0010303812 -0.0014589898 0.0023851397 0.002266679 -0.0023016413 0.0033526788 0.0025520483 -0.0024985042 -0.0019196786 0.0011023299 0.002923547 -0.0022560735 -0.0011079231 -0.0022122962 -0.002742382 -0.0031620117 0.0029903615 0.00032405462 0.002561381 0.0031106896 0.0019058776 0.0013200819
